iter	Passed	Remaining
187	8407	36315
188	8448	36252
189	8487	36183
190	8531	36137
191	8570	36068
192	8616	36027
193	8656	35963
194	8703	35929
195	8750	35896
196	8787	35818
197	8832	35775
198	8874	35722
199	8915	35663
200	8962	35627
201	9004	35571
202	9047	35520
203	9091	35476
204	9136	35430
205	9179	35381
206	9220	35321
207	9263	35274
208	9300	35200
209	9351	35180
210	9392	35120
211	9430	35054
212	9474	35006
213	9521	34972
214	9569	34938
215	9612	34889
216	9656	34844
217	9701	34802
218	9748	34764
219	9786	34698
220	9831	34654
221	9877	34616
222	9917	34556
223	9964	34518
224	10008	34473
225	10056	34442
226	10098	34389
227	10147	34358
228	10189	34307
229	10237	34272
230	10282	34231
231	10320	34165
232	10364	34118
233	10408	34071
234	10455	34036
235	10500	33994
236	10542	33941
237	10586	33894
238	10632	33854
239	10676	33808
240	10715	33745
241	10758	33697
242	10803	33656
243	10850	33619
244	10900	33590
245	10946	33550
246	10999	33534
247	11046	33495
248	11090	33449
249	11126	33378
250	11165	33319
251	11205	33260
252	11247	33208
253	11295	33175
254	11349	33159
255	11394	33116
256	11442	33080
257	11486	33034
258	11528	32982
259	11567	32921
260	11612	32880
261	11653	32825
262	11697	32778
263	11738	32726
264	11784	32685
265	11826	32633
266	11871	32589
267	11915	32545
268	11960	32501
269	12006	32461
270	12049	32412
271	12091	32362
272	12129	32301
273	12178	32268
274	12218	32211
275	12263	32168
276	12313	32138
277	12355	32089
278	12396	32035
279	12438	31983
280	12482	31938
281	12528	31899
282	12569	31845
283	12607	31786
284	12646	31728
285	12692	31687
286	12732	31631
287	12771	31573
288	12812	31521
289	12851	31463
290	12893	31414
291	12937	31369
292	12983	31329
293	13029	31288
294	13069	31233
295	13109	31178
296	13152	31132
297	13197	31089
298	13238	31036
299	13283	30993
300	13329	30954
301	13368	30898
302	13409	30845
303	13449	30793
304	13494	30750
305	13537	30702
306	13583	30663
307	13627	30618
308	13670	30569
309	13717	30533
310	13761	30488
311	13805	30442
312	13846	30391
313	13890	30346
314	13933	30299
315	13975	30249
316	14013	30194
317	14054	30142
318	14095	30090
319	14135	30037
320	14175	29983
321	14215	29932
322	14262	29893
323	14303	29843
324	14349	29802
325	14392	29756
326	14431	29700
327	14473	29652
328	14519	29612
329	14558	29558
330	14601	29512
331	14647	29471
332	14692	29429
333	14736	29384
334	14784	29348
335	14825	29298
336	14868	29251
337	14908	29199
338	14952	29155
339	15000	29117
340	15046	29077
341	15096	29044
342	15136	28994
343	15196	28979
344	15235	28925
345	15274	28870
346	15320	28830
347	15364	28787
348	15428	28780
349	15478	28745
350	15518	28693
351	15561	28648
352	15605	28603
353	15647	28554
354	15686	28500
355	15728	28452
356	15773	28409
357	15814	28359
358	15858	28315
359	15900	28268
360	15949	28232
361	15994	28189
362	16037	28143
363	16077	28091
364	16117	28040
365	16156	27986
366	16198	27938
367	16241	27893
368	16284	27846
369	16325	27798
370	16373	27760
371	16413	27709
372	16449	27651
373	16489	27599
374	16538	27564
375	16577	27511
376	16617	27461
377	16656	27407
378	16701	27365
379	16738	27310
380	16780	27262
381	16830	27228
382	16875	27185
383	16916	27136
384	16959	27091
385	17009	27055
386	17054	27013
387	17098	26969
388	17138	26919
389	17181	26873
390	17217	26816
391	17260	26771
392	17313	26741
393	17355	26694
394	17398	26647
395	17438	26598
396	17483	26556
397	17525	26508
398	17568	26463
399	17610	26415
400	17652	26368
